state,district,typology
Punjab,Hoshiarpur,Digitally Strong & Balanced
Punjab,Jalandhar,Digitally Strong & Balanced
Punjab,Kapurthala,Digitally Strong & Balanced
Punjab,Ludhiana,Digitally Strong & Balanced
Punjab,Malerkotla,Digitally Strong & Balanced
Punjab,Mansa,Digitally Strong & Balanced
Punjab,Moga,Digitally Strong & Balanced
Punjab,Muktsar,Digitally Underserved
Punjab,Nawanshahr,Digitally Underserved
Punjab,Pathankot,Digitally Strong & Balanced
Punjab,Patiala,Digitally Strong & Balanced
Punjab,Rupnagar,Digitally Strong & Balanced
Punjab,S.A.S Nagar(Mohali),Digitally Strong & Balanced
Punjab,SAS Nagar (Mohali),Digitally Strong & Balanced
Punjab,Sangrur,Digitally Strong & Balanced
Punjab,Shaheed Bhagat Singh Nagar,Digitally Strong & Balanced
Punjab,Sri Muktsar Sahib,Digitally Strong & Balanced
Punjab,Tarn Taran,Digitally Strong & Balanced
Rajasthan,Ajmer,Digitally Strong & Balanced
Rajasthan,Alwar,Digitally Strong & Balanced
Rajasthan,Balotra,Digitally Weak but Stable
Rajasthan,Banswara,Digitally Strong & Balanced
Rajasthan,Baran,Digitally Strong & Balanced
Rajasthan,Barmer,Digitally Strong & Balanced
Rajasthan,Beawar,Digitally Weak but Stable
Rajasthan,Bharatpur,Digitally Strong & Balanced
Rajasthan,Bhilwara,Digitally Strong & Balanced
Rajasthan,Bikaner,Digitally Strong & Balanced
Rajasthan,Bundi,Digitally Strong & Balanced
Rajasthan,Chittaurgarh,Digitally Strong & Balanced
Rajasthan,Chittorgarh,Digitally Strong & Balanced
Rajasthan,Churu,Digitally Strong & Balanced
Rajasthan,Dausa,Digitally Strong & Balanced
Rajasthan,Deeg,Digitally Underserved
Rajasthan,Deeg ,Digitally Weak but Stable
Rajasthan,Dhaulpur,Digitally Strong & Balanced
Rajasthan,Dholpur,Digitally Strong & Balanced
Rajasthan,Didwana-Kuchaman,Digitally Weak but Stable
Rajasthan,Dungarpur,Digitally Strong & Balanced
Rajasthan,Ganganagar,Digitally Strong & Balanced
Rajasthan,Hanumangarh,Digitally Strong & Balanced
Rajasthan,Jaipur,Digitally Strong but Overburdened
Rajasthan,Jaisalmer,Digitally Strong & Balanced
Rajasthan,Jalor,Digitally Strong & Balanced
Rajasthan,Jalore,Digitally Underserved
Rajasthan,Jhalawar,Digitally Strong & Balanced
Rajasthan,Jhunjhunu,Digitally Strong & Balanced
Rajasthan,Jhunjhunun,Digitally Strong & Balanced
Rajasthan,Jodhpur,Digitally Strong & Balanced
Rajasthan,Karauli,Digitally Strong & Balanced
Rajasthan,Khairthal-Tijara,Digitally Weak but Stable
Rajasthan,Kota,Digitally Strong & Balanced
Rajasthan,Kotputli-Behror,Digitally Weak but Stable
Rajasthan,Nagaur,Digitally Strong & Balanced
Rajasthan,Pali,Digitally Strong & Balanced
Rajasthan,Phalodi,Digitally Weak but Stable
Rajasthan,Pratapgarh,Digitally Strong & Balanced
Rajasthan,Rajsamand,Digitally Strong & Balanced
Rajasthan,Salumbar,Digitally Weak but Stable
Rajasthan,Sawai Madhopur,Digitally Strong & Balanced
Rajasthan,Sikar,Digitally Strong & Balanced
Rajasthan,Sirohi,Digitally Strong & Balanced
Rajasthan,Tonk,Digitally Strong & Balanced
Rajasthan,Udaipur,Digitally Strong & Balanced
Sikkim,East,Digitally Strong & Balanced
Sikkim,East Sikkim,Digitally Strong & Balanced
Sikkim,Namchi,Digitally Weak but Stable
Sikkim,North,Digitally Strong & Balanced
Sikkim,North Sikkim,Digitally Strong & Balanced
Sikkim,South,Digitally Strong & Balanced
Sikkim,South Sikkim,Digitally Strong & Balanced
Sikkim,West,Digitally Strong & Balanced
Sikkim,West Sikkim,Digitally Strong & Balanced
Tamil Nadu,Ariyalur,Digitally Strong & Balanced
Tamil Nadu,Chengalpattu,Digitally Strong & Balanced
Tamil Nadu,Chennai,Digitally Strong & Balanced
Tamil Nadu,Coimbatore,Digitally Strong & Balanced
Tamil Nadu,Cuddalore,Digitally Strong & Balanced
Tamil Nadu,Dharmapuri,Digitally Strong & Balanced
Tamil Nadu,Dindigul,Digitally Strong & Balanced
Tamil Nadu,Erode,Digitally Strong & Balanced
Tamil Nadu,Kallakurichi,Digitally Strong & Balanced
Tamil Nadu,Kancheepuram,Digitally Strong & Balanced
Tamil Nadu,Kanchipuram,Digitally Weak but Stable
Tamil Nadu,Kanniyakumari,Digitally Strong & Balanced
Tamil Nadu,Kanyakumari,Digitally Strong & Balanced
Tamil Nadu,Karur,Digitally Strong & Balanced
Tamil Nadu,Krishnagiri,Digitally Strong & Balanced
Tamil Nadu,Madurai,Digitally Strong & Balanced
Tamil Nadu,Mayiladuthurai,Digitally Strong & Balanced
Tamil Nadu,Nagapattinam,Digitally Strong & Balanced
Tamil Nadu,Namakkal,Digitally Strong & Balanced
Tamil Nadu,Perambalur,Digitally Strong & Balanced
Tamil Nadu,Pudukkottai,Digitally Strong & Balanced
Tamil Nadu,Ramanathapuram,Digitally Strong & Balanced
Tamil Nadu,Ranipet,Digitally Strong but Overburdened
Tamil Nadu,Salem,Digitally Strong & Balanced
Tamil Nadu,Sivaganga,Digitally Strong & Balanced
Tamil Nadu,Tenkasi,Digitally Strong & Balanced
Tamil Nadu,Thanjavur,Digitally Strong & Balanced
Tamil Nadu,The Nilgiris,Digitally Strong & Balanced
Tamil Nadu,Theni,Digitally Strong & Balanced
Tamil Nadu,Thiruvallur,Digitally Strong & Balanced
Tamil Nadu,Thiruvarur,Digitally Strong & Balanced
Tamil Nadu,Thoothukkudi,Digitally Strong & Balanced
Tamil Nadu,Tiruchirappalli,Digitally Strong & Balanced
Tamil Nadu,Tirunelveli,Digitally Strong & Balanced
Tamil Nadu,Tirupathur,Digitally Weak but Stable
Tamil Nadu,Tirupattur,Digitally Strong & Balanced
Tamil Nadu,Tiruppur,Digitally Strong & Balanced
Tamil Nadu,Tiruvallur,Digitally Strong & Balanced
Tamil Nadu,Tiruvannamalai,Digitally Strong & Balanced
Tamil Nadu,Tiruvarur,Digitally Weak but Stable
Tamil Nadu,Tuticorin,Digitally Weak but Stable
Tamil Nadu,Vellore,Digitally Strong & Balanced
Tamil Nadu,Villupuram,Digitally Strong & Balanced
Tamil Nadu,Viluppuram,Digitally Strong & Balanced
Tamil Nadu,Virudhunagar,Digitally Strong & Balanced
Telangana,Adilabad,Digitally Strong & Balanced
Telangana,Bhadradri Kothagudem,Digitally Strong & Balanced
Telangana,Hanumakonda,Digitally Strong & Balanced
Telangana,Hyderabad,Digitally Strong & Balanced
Telangana,Jagitial,Digitally Strong & Balanced
Telangana,Jangaon,Digitally Weak but Stable
Telangana,Jangoan,Digitally Strong & Balanced
Telangana,Jayashankar Bhupalpally,Digitally Strong & Balanced
Telangana,Jogulamba Gadwal,Digitally Strong & Balanced
Telangana,K.v. Rangareddy,Digitally Strong & Balanced
Telangana,Kamareddy,Digitally Strong & Balanced
Telangana,Karimnagar,Digitally Strong & Balanced
Telangana,Khammam,Digitally Strong & Balanced
Telangana,Komaram Bheem,Digitally Strong & Balanced
Telangana,Mahabubabad,Digitally Strong & Balanced
Telangana,Mahabubnagar,Digitally Strong & Balanced
Telangana,Mancherial,Digitally Strong & Balanced
Telangana,Medak,Digitally Strong & Balanced
Telangana,Medchal-malkajgiri,Digitally Strong & Balanced
Telangana,Medchal?malkajgiri,Digitally Underserved
Telangana,Medchal−malkajgiri,Digitally Weak but Stable
Telangana,Mulugu,Digitally Strong & Balanced
Telangana,Nagarkurnool,Digitally Strong & Balanced
Telangana,Nalgonda,Digitally Strong & Balanced
Telangana,Narayanpet,Digitally Strong & Balanced
Telangana,Nirmal,Digitally Strong & Balanced
Telangana,Nizamabad,Digitally Strong & Balanced
Telangana,Peddapalli,Digitally Strong & Balanced
Telangana,Rajanna Sircilla,Digitally Strong & Balanced
Telangana,Rangareddy,Digitally Strong & Balanced
Telangana,Sangareddy,Digitally Strong & Balanced
Telangana,Siddipet,Digitally Strong & Balanced
Telangana,Suryapet,Digitally Strong & Balanced
Telangana,Vikarabad,Digitally Strong & Balanced
Telangana,Wanaparthy,Digitally Strong & Balanced
Telangana,Warangal,Digitally Strong & Balanced
Telangana,Warangal (urban),Digitally Weak but Stable
Telangana,Warangal Rural,Digitally Strong & Balanced
Telangana,Warangal Urban,Digitally Strong & Balanced
Telangana,Yadadri.,Digitally Strong & Balanced
Tripura,Dhalai,Digitally Strong & Balanced
Tripura,Dhalai  *,Digitally Strong & Balanced
Tripura,Gomati,Digitally Strong & Balanced
Tripura,Khowai,Digitally Strong & Balanced
Tripura,North Tripura,Digitally Strong & Balanced
Tripura,Sepahijala,Digitally Strong & Balanced
Tripura,South Tripura,Digitally Strong & Balanced
Tripura,Unakoti,Digitally Strong & Balanced
Tripura,West Tripura,Digitally Strong & Balanced
Uttar Pradesh,Agra,Digitally Strong & Balanced
Uttar Pradesh,Aligarh,Digitally Strong & Balanced
Uttar Pradesh,Allahabad,Digitally Strong & Balanced
Uttar Pradesh,Ambedkar Nagar,Digitally Strong & Balanced
Uttar Pradesh,Amethi,Digitally Strong & Balanced
Uttar Pradesh,Amroha,Digitally Strong & Balanced
Uttar Pradesh,Auraiya,Digitally Strong & Balanced
Uttar Pradesh,Auraiya *,Digitally Weak but Stable
Uttar Pradesh,Ayodhya,Digitally Strong & Balanced
Uttar Pradesh,Azamgarh,Digitally Strong & Balanced
Uttar Pradesh,Baghpat,Digitally Strong & Balanced
Uttar Pradesh,Bagpat,Digitally Weak but Stable
Uttar Pradesh,Bahraich,Digitally Strong & Balanced
Uttar Pradesh,Ballia,Digitally Strong & Balanced
Uttar Pradesh,Balrampur,Digitally Strong & Balanced
Uttar Pradesh,Banda,Digitally Strong & Balanced
Uttar Pradesh,Bara Banki,Digitally Strong & Balanced
Uttar Pradesh,Barabanki,Digitally Strong & Balanced
Uttar Pradesh,Bareilly,Digitally Strong & Balanced
Uttar Pradesh,Basti,Digitally Strong & Balanced
Uttar Pradesh,Bhadohi,Digitally Strong & Balanced
Uttar Pradesh,Bijnor,Digitally Strong & Balanced
Uttar Pradesh,Budaun,Digitally Strong & Balanced
Uttar Pradesh,Bulandshahar,Digitally Weak but Stable
Uttar Pradesh,Bulandshahr,Digitally Strong & Balanced
Uttar Pradesh,Chandauli,Digitally Strong & Balanced
Uttar Pradesh,Chandauli *,Digitally Weak but Stable
Uttar Pradesh,Chitrakoot,Digitally Strong & Balanced
Uttar Pradesh,Deoria,Digitally Strong & Balanced
Uttar Pradesh,Etah,Digitally Strong & Balanced
Uttar Pradesh,Etawah,Digitally Strong & Balanced
Uttar Pradesh,Faizabad,Digitally Strong & Balanced
Uttar Pradesh,Farrukhabad,Digitally Strong & Balanced
Uttar Pradesh,Fatehpur,Digitally Strong & Balanced
Uttar Pradesh,Firozabad,Digitally Strong & Balanced
Uttar Pradesh,Gautam Buddha Nagar,Digitally Strong & Balanced
Uttar Pradesh,Gautam Buddha Nagar *,Digitally Weak but Stable
Uttar Pradesh,Ghaziabad,Digitally Strong & Balanced
Uttar Pradesh,Ghazipur,Digitally Strong & Balanced
Uttar Pradesh,Gonda,Digitally Strong & Balanced
Uttar Pradesh,Gorakhpur,Digitally Strong & Balanced
Uttar Pradesh,Hamirpur,Digitally Strong & Balanced
Uttar Pradesh,Hapur,Digitally Strong & Balanced
Uttar Pradesh,Hardoi,Digitally Strong & Balanced
Uttar Pradesh,Hathras,Digitally Strong & Balanced
Uttar Pradesh,Jalaun,Digitally Strong & Balanced
Uttar Pradesh,Jaunpur,Digitally Strong & Balanced
Uttar Pradesh,Jhansi,Digitally Strong & Balanced
Uttar Pradesh,Jyotiba Phule Nagar,Digitally Weak but Stable
Uttar Pradesh,Kannauj,Digitally Strong & Balanced
Uttar Pradesh,Kanpur Dehat,Digitally Strong & Balanced
Uttar Pradesh,Kanpur Nagar,Digitally Strong & Balanced
Uttar Pradesh,Kasganj,Digitally Strong & Balanced
Uttar Pradesh,Kaushambi,Digitally Strong & Balanced
Uttar Pradesh,Kheri,Digitally Strong & Balanced
Uttar Pradesh,Kushinagar,Digitally Strong & Balanced
Uttar Pradesh,Kushinagar *,Digitally Strong & Balanced
Uttar Pradesh,Lalitpur,Digitally Strong & Balanced
Uttar Pradesh,Lucknow,Digitally Strong & Balanced
Uttar Pradesh,Maharajganj,Digitally Strong & Balanced
Uttar Pradesh,Mahoba,Digitally Strong & Balanced
Uttar Pradesh,Mahoba *,Digitally Weak but Stable
Uttar Pradesh,Mahrajganj,Digitally Weak but Stable
Uttar Pradesh,Mainpuri,Digitally Strong & Balanced
Uttar Pradesh,Mathura,Digitally Strong & Balanced
Uttar Pradesh,Mau,Digitally Strong & Balanced
Uttar Pradesh,Meerut,Digitally Strong & Balanced
Uttar Pradesh,Mirzapur,Digitally Strong & Balanced
Uttar Pradesh,Moradabad,Digitally Strong & Balanced
Uttar Pradesh,Muzaffarnagar,Digitally Strong & Balanced
Uttar Pradesh,Pilibhit,Digitally Strong & Balanced
Uttar Pradesh,Pratapgarh,Digitally Strong & Balanced
Uttar Pradesh,Prayagraj,Digitally Strong & Balanced
Uttar Pradesh,Rae Bareli,Digitally Strong & Balanced
Uttar Pradesh,Raebareli,Digitally Weak but Stable
Uttar Pradesh,Rampur,Digitally Strong & Balanced
Uttar Pradesh,Saharanpur,Digitally Strong & Balanced
Uttar Pradesh,Sambhal,Digitally Strong & Balanced
Uttar Pradesh,Sant Kabir Nagar,Digitally Strong & Balanced
Uttar Pradesh,Sant Ravidas Nagar,Digitally Strong & Balanced
Uttar Pradesh,Sant Ravidas Nagar Bhadohi,Digitally Weak but Stable
Uttar Pradesh,Shahjahanpur,Digitally Strong & Balanced
Uttar Pradesh,Shamli,Digitally Strong & Balanced
Uttar Pradesh,Shrawasti,Digitally Strong & Balanced
Uttar Pradesh,Siddharthnagar,Digitally Strong & Balanced
Uttar Pradesh,Sitapur,Digitally Strong & Balanced
Uttar Pradesh,Sonbhadra,Digitally Strong & Balanced
Uttar Pradesh,Sultanpur,Digitally Strong & Balanced
Uttar Pradesh,Unnao,Digitally Strong & Balanced
Uttar Pradesh,Varanasi,Digitally Strong & Balanced
Uttarakhand,Almora,Digitally Strong & Balanced
Uttarakhand,Bageshwar,Digitally Strong & Balanced
Uttarakhand,Chamoli,Digitally Strong & Balanced
Uttarakhand,Champawat,Digitally Strong & Balanced
Uttarakhand,Dehradun,Digitally Strong & Balanced
Uttarakhand,Garhwal,Digitally Weak but Stable
Uttarakhand,Hardwar,Digitally Weak but Stable
Uttarakhand,Haridwar,Digitally Strong but Overburdened
Uttarakhand,Nainital,Digitally Strong & Balanced
Uttarakhand,Pauri Garhwal,Digitally Strong & Balanced
Uttarakhand,Pithoragarh,Digitally Strong & Balanced
Uttarakhand,Rudraprayag,Digitally Strong & Balanced
Uttarakhand,Tehri Garhwal,Digitally Strong & Balanced
Uttarakhand,Udham Singh Nagar,Digitally Strong but Overburdened
Uttarakhand,Uttarkashi,Digitally Strong & Balanced
West Bengal,Alipurduar,Digitally Strong & Balanced
West Bengal,Bally Jagachha,Digitally Weak but Stable
West Bengal,Bankura,Digitally Strong & Balanced
West Bengal,Barddhaman,Digitally Strong & Balanced
West Bengal,Bardhaman,Digitally Strong & Balanced
West Bengal,Birbhum,Digitally Strong & Balanced
West Bengal,Burdwan,Digitally Weak but Stable
West Bengal,Cooch Behar,Digitally Strong & Balanced
West Bengal,Dakshin Dinajpur,Digitally Strong & Balanced
West Bengal,Darjeeling,Digitally Strong & Balanced
West Bengal,Darjiling,Digitally Strong & Balanced
West Bengal,Domjur,Digitally Weak but Stable
West Bengal,East Midnapore,Digitally Strong & Balanced
West Bengal,East Midnapur,Digitally Weak but Stable
West Bengal,East midnapore,Digitally Weak but Stable
West Bengal,HOOGHLY,Digitally Weak but Stable
West Bengal,HOWRAH,Digitally Weak but Stable
West Bengal,Haora,Digitally Strong & Balanced
West Bengal,Hawrah,Digitally Weak but Stable
West Bengal,Hooghiy,Digitally Weak but Stable
West Bengal,Hooghly,Digitally Strong & Balanced
West Bengal,Howrah,Digitally Strong & Balanced
West Bengal,Hugli,Digitally Weak but Stable
West Bengal,Jalpaiguri,Digitally Strong & Balanced
West Bengal,Jhargram,Digitally Strong & Balanced
West Bengal,KOLKATA,Digitally Weak but Stable
West Bengal,Kalimpong,Digitally Strong & Balanced
West Bengal,Koch Bihar,Digitally Strong & Balanced
West Bengal,Kolkata,Digitally Strong & Balanced
West Bengal,MALDA,Digitally Weak but Stable
West Bengal,Malda,Digitally Strong & Balanced
West Bengal,Maldah,Digitally Strong & Balanced
West Bengal,Medinipur,Digitally Weak but Stable
West Bengal,Murshidabad,Digitally Strong & Balanced
West Bengal,NADIA,Digitally Weak but Stable
West Bengal,Nadia,Digitally Strong & Balanced
West Bengal,North 24 Parganas,Digitally Strong & Balanced
West Bengal,North Dinajpur,Digitally Strong & Balanced
West Bengal,North Twenty Four Parganas,Digitally Strong & Balanced
West Bengal,Paschim Bardhaman,Digitally Strong & Balanced
West Bengal,Paschim Medinipur,Digitally Strong & Balanced
West Bengal,Purba Bardhaman,Digitally Strong & Balanced
West Bengal,Purba Medinipur,Digitally Strong & Balanced
West Bengal,Purulia,Digitally Strong & Balanced
West Bengal,Puruliya,Digitally Strong & Balanced
West Bengal,South 24 Pargana,Digitally Weak but Stable
West Bengal,South 24 Parganas,Digitally Strong & Balanced
West Bengal,South 24 pargana,Digitally Weak but Stable
West Bengal,South 24 parganas,Digitally Weak but Stable
West Bengal,South Dinajpur,Digitally Strong & Balanced
West Bengal,South DumDum(M),Digitally Weak but Stable
West Bengal,South Twenty Four Parganas,Digitally Strong & Balanced
West Bengal,Uttar Dinajpur,Digitally Strong & Balanced
West Bengal,West Medinipur,Digitally Weak but Stable
West Bengal,West Midnapore,Digitally Strong & Balanced
West Bengal,east midnapore,Digitally Weak but Stable
West Bengal,hooghly,Digitally Weak but Stable
West Bengal,nadia,Digitally Weak but Stable
